Name,District,Parent_Salesforce_ID
Hogan Preparatory Academy High,Hogan Charter (District),0015f00000KvuZEAAZ
Hogan Preparatory Academy Elementary,Hogan Charter (District),0015f00000KvuZEAAZ
Center High School,Center School District,0015f00000KvuZTAAZ
CENTER ALTERNATIVE,Center School District,0015f00000KvuZTAAZ
Center Elementary,Center School District,0015f00000KvuZTAAZ
Indian Creek Elementary,Center School District,0015f00000KvuZTAAZ
Boone Elementary,Center School District,0015f00000KvuZTAAZ
Red Bridge Elementary,Center School District,0015f00000KvuZTAAZ
Early Childhood Educ. Center,Center School District,0015f00000KvuZTAAZ
Yellow Jacket Early Learning Center,Center School District,0015f00000KvuZTAAZ
Northeast High,Kansas City Public Schools (MO),0015f00000KxHwVAAV
Manual Career and Technical Education Center,Kansas City Public Schools (MO),0015f00000KxHwVAAV
Central High School,Kansas City Public Schools (MO),0015f00000KxHwVAAV
PASEO ACAD. OF PERFORMING ARTS,Kansas City Public Schools (MO),0015f00000KxHwVAAV
Garfield Elementary,Kansas City Public Schools (MO),0015f00000KxHwVAAV
Southeast High (KCMO),Kansas City Public Schools (MO),0015f00000KxHwVAAV
East High School,Kansas City Public Schools (MO),0015f00000KxHwVAAV
Northeast Middle School,Kansas City Public Schools (MO),0015f00000KxHwVAAV
Wendell Phillips Elementary,Kansas City Public Schools (MO),0015f00000KxHwVAAV
Trailwoods Elementary,Kansas City Public Schools (MO),0015f00000KxHwVAAV
FAXON ELEMENTARY,Kansas City Public Schools (MO),0015f00000KxHwVAAV
Longfellow Elementary,Kansas City Public Schools (MO),0015f00000KxHwVAAV
Primitivo Garcia Elementary,Kansas City Public Schools (MO),0015f00000KxHwVAAV
Troost Elementary,Kansas City Public Schools (MO),0015f00000KxHwVAAV
Hale Cook Elementary,Kansas City Public Schools (MO),0015f00000KxHwVAAV
John T. Hartman Elementary,Kansas City Public Schools (MO),0015f00000KxHwVAAV
M.L. King Elementary,Kansas City Public Schools (MO),0015f00000KxHwVAAV
CARVER DUAL LANGUAGE,Kansas City Public Schools (MO),0015f00000KxHwVAAV
George Melcher Elementary,Kansas City Public Schools (MO),0015f00000KxHwVAAV
J.A. Rogers Elementary,Kansas City Public Schools (MO),0015f00000KxHwVAAV
Phillis Wheatley Elementary,Kansas City Public Schools (MO),0015f00000KxHwVAAV
Gladstone Elementary,Kansas City Public Schools (MO),0015f00000KxHwVAAV
HOLLIDAY MONTESSORI,Kansas City Public Schools (MO),0015f00000KxHwVAAV
James Elementary,Kansas City Public Schools (MO),0015f00000KxHwVAAV
BORDER STAR MONTESSORI,Kansas City Public Schools (MO),0015f00000KxHwVAAV
Central Middle School (MO),Kansas City Public Schools (MO),0015f00000KxHwVAAV
Foreign Language Academy,Kansas City Public Schools (MO),0015f00000KxHwVAAV
Pitcher Elementary,Kansas City Public Schools (MO),0015f00000KxHwVAAV
Lincoln College Prep.,Kansas City Public Schools (MO),0015f00000KxHwVAAV
Lincoln College Academy Middle,Kansas City Public Schools (MO),0015f00000KxHwVAAV
B. Banneker Elementary (MO),Kansas City Public Schools (MO),0015f00000KxHwVAAV
Ac Prep Elementary,Kansas City Public Schools (MO),0015f00000KxHwVAAV
Stony Point South Elementary,Kansas City Kansas Public Schools,0015f00000JU4pVAAT
Paseo Middle School,Kansas City Public Schools (MO),0015f00000KxHwVAAV
